raw_school,raw_project,canonical
University of Manchester,MSc in Artificial Intelligence,University of Manchester MSc in Artificial Intelligence
University of Manchester,MSc in Machine Learning,University of Manchester MSc in Machine Learning
University of Manchester,MSc in Pure Mathematics,University of Manchester MSc in Pure Mathematics
University of Manchester,MSc in Mathematical Finance,University of Manchester MSc Mathematical Finance
University of Manchester,MSc Statistics,University of Manchester MSc Statistics
"University of Maryland, College Park",MSc in Artificial Intelligence,"University of Maryland, College Park MSc in Artificial Intelligence"
"University of Maryland, College Park",PhD in Computer Science,"University of Maryland, College Park PhD in Computer Science"
University of Melbourne,Master of Biostatistics,University of Melbourne Master of Biostatistics
"University of Michigan, Ann Arbor",Data Science,"University of Michigan, Ann Arbor  Master’s in Data Science"
"University of Michigan, Ann Arbor",Applied statistics ,"University of Michigan, Ann Arbor Applied Statistics Master's Program"
"University of Michigan, Ann Arbor",Applied Statistics Master,"University of Michigan, Ann Arbor Applied Statistics Master's Program"
"University of Michigan, Ann Arbor",MS in biostatistics,"University of Michigan, Ann Arbor Master of Science (MS) in Biostatistics"
"University of Michigan, Ann Arbor",生统,"University of Michigan, Ann Arbor Master of Science (MS) in Biostatistics"
"University of Michigan, Ann Arbor",MS Data Science,"University of Michigan, Ann Arbor Master's in Data Science"
"University of Michigan, Ann Arbor",PhD statistics,"University of Michigan, Ann Arbor Ph.D. in Statistics"
University of North Carolina at Chapel Hill,MSc Biostatistics,University of North Carolina at Chapel Hill Master of Science Biostatistics
University of North Carolina at Chapel Hill,PhD in Computer Science and Engineering,University of North Carolina at Chapel Hill PhD in Computer Science
University of Notre Dame,PhD in Computer Science and Engineering,University of Notre Dame PhD in Computer Science and Engineering
University of Oxford,MSc in Mathematical and Computational Finance.,University of Oxford MSc in Mathematical and Computational Finance
University of Oxford,MSc in Mathematical Computational Finance ,University of Oxford MSc in Mathematical and Computational Finance
University of Oxford,MSc in Mathematical Modeling ,University of Oxford MSc in Mathematical Modelling and Scientific Computing (MMSC)
University of Oxford,MSc in Mathematical Modelling and Scientific Computing,University of Oxford MSc in Mathematical Modelling and Scientific Computing (MMSC)
University of Oxford,Applied Math and Scienfitc Computing,University of Oxford MSc in Mathematical Modelling and Scientific Computing (MMSC)
University of Oxford,OMMS,University of Oxford MSc in Mathematical Sciences (OMMS)
University of Oxford,MSc in Mathematics Science,University of Oxford MSc in Mathematical Sciences (OMMS)
University of Oxford,MS Mathematical Sciences,University of Oxford MSc in Mathematical Sciences (OMMS)
University of Oxford,MSc in Mathematical Sciences,University of Oxford MSc in Mathematical Sciences (OMMS)
University of Oxford,Msc in Statistical Science,University of Oxford MSc in Statistical Science
University of Oxford,MS Statistics,University of Oxford MSc in Statistical Science
University of Oxford,MSc in statistics ,University of Oxford MSc in Statistical Science
University of Sydney,Master of Computer Science,University of Sydney Master of Computer Science
University of Virginia,PhD in Computer Science,University of Virginia PhD in Computer Science
University of Warwick,Mathematics finance,University of Warwick Mathematical Finance (MSc)
University of Washington,Master of Science in Data Science,University of Washington Master of Science in Data Science
University of Washington,PhD in Computer Science,University of Washington PhD in Computer Science and Engineering
University of York,MSc in Mathematics,University of York MSc in Mathematics
University of Pennsylvania (UPenn),Applied Math and Computational Science,UPenn MA in Applied Mathematics and Computational Science (AMCS)
University of Pennsylvania (UPenn),Master of Arts in Applied Mathematics and Computational Science (AMCS),UPenn MA in Applied Mathematics and Computational Science (AMCS)
University of Pennsylvania (UPenn),AMCS,UPenn MA in Applied Mathematics and Computational Science (AMCS)
University of Pennsylvania (UPenn),MSc Biostatistics,UPenn MS program in Biostatistics
University of Pennsylvania,MSE  in Data Science,UPenn MSE in Data Science
University of Pennsylvania (UPenn),Data Science,UPenn MSE in Data Science
University of Pennsylvania (UPenn),MSE Data Science,UPenn MSE in Data Science
University of Pennsylvania (UPenn),MSE in Scientific Computing,UPenn MSE in Scientific Computing
University of Pennsylvania (UPenn),System engineering,UPenn MSE in Systems Engineering
University of Pennsylvania (UPenn),System Engeneering,UPenn MSE in Systems Engineering
University of Pennsylvania (UPenn),MS in System Engineering ,UPenn MSE in Systems Engineering
University of Pennsylvania (UPenn),MS in Systems Engineering ,UPenn MSE in Systems Engineering
University of Pennsylvania (UPenn),Systems Engineering,UPenn MSE in Systems Engineering
University of Pennsylvania (UPenn),SE（系统工程）,UPenn MSE in Systems Engineering
University of Southern California (USC), Master of Science in Applied Data Science,USC Master of Science in Applied Data Science
University of Southern California (USC),data和analytic,USC MS in Applied Data Science
washington settle,statistics,UW (Seattle) MS in Statistics
University of Washington,Statistics - (MS - Advanced Methods & Data Analysis,UW Master of Science (M.S.) in Statistics - Advanced Methods and Data Analysis (AMDS)
Virginia Tech,PhD in Computer Science,VT PhD in Computer Science
Washington University in St. Louis (WashU),MSc in Biostatistics and Data Science,WashU Master of Science in Biostatistics and Data Science (MSBDS)
Yale University,MPH biostatistics,Yale University MPH in Biostatistics
Yale University,MPH in Biostatistics ,Yale University MPH in Biostatistics
Yale University,Mph Biosta,Yale University MPH in Biostatistics
Yale University,ms biostats,Yale University MS in Biostatistics
Yale University,Master of science in public health ,Yale University MS in Biostatistics
Yale University,Computational Biology and Biomedical Informatics,Yale University MS in Computational Biology and Biomedical Informatics
Yale University,MS Computational biology and biomedical informatics,Yale University MS in Computational Biology and Biomedical Informatics
Yale University,MS in Health Informatics,Yale University MS in Health Informatics
Yale University,MS Statistics & Data Science,Yale University MS in Statistics & Data Science
Yale University,PhD in Computer Science,Yale University PhD in Computer Science
